source,split,checkpoint,bucket,horizon_min,n,mean_bps,ci_lo,ci_hi,test_id,robust_type
M15_trim1pct,CONFIRM,16:00,"[0.05,0.15)",30,33,-0.9399568227890838,-4.138244388736435,2.3601662860896653,"D2_16:00_[0.05,0.15)_30",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,16:00,"[0.05,0.15)",60,33,-0.7260343038224271,-6.514963809421048,4.59538606448923,"D2_16:00_[0.05,0.15)_60",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,16:00,"[0.15,+inf)",30,71,-0.16278678848192285,-3.0874475150694,2.8632145972231937,"D2_16:00_[0.15,+inf)_30",trim1pct_dev_n_M15
M15_trim1pct,CONFIRM,16:00,"[0.15,+inf)",60,71,-0.847966273027368,-4.559272992748897,2.6835032106625687,"D2_16:00_[0.15,+inf)_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,10:00,"(-0.05,0.05)",30,224,3.6362610512850204,-1.3722006529900197,8.643735993989068,"D2_10:00_(-0.05,0.05)_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,10:00,"(-0.05,0.05)",60,224,9.72560131412013,2.8509312759563166,17.130384202462718,"D2_10:00_(-0.05,0.05)_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,10:00,"(-0.15,-0.05]",30,155,0.2341964233919422,-5.116259595823583,5.64617808555492,"D2_10:00_(-0.15,-0.05]_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,10:00,"(-0.15,-0.05]",60,155,-0.8684900968010971,-10.464986925548594,9.1871978803215,"D2_10:00_(-0.15,-0.05]_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,10:00,"(-inf,-0.15]",30,24,-9.184006012700195,-28.117898180970915,9.937447321679697,"D2_10:00_(-inf,-0.15]_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,10:00,"(-inf,-0.15]",60,24,1.9158058336643986,-20.899149051774334,28.00081563163081,"D2_10:00_(-inf,-0.15]_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,10:00,"[0.05,0.15)",30,152,-0.5149571670073393,-6.786950321967566,5.727377857439063,"D2_10:00_[0.05,0.15)_30",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,10:00,"[0.05,0.15)",60,152,-1.5512128652038213,-10.08330094336249,6.8702987605498596,"D2_10:00_[0.05,0.15)_60",trim1pct_dev_n_M15
M15_trim1pct,DISCOVERY,10:00,"[0.15,+inf)",30,35,-12.992211293947884,-26.68658185936762,-0.22518652416444723,"D2_10:00_[0.15,+inf)_30",trim1pct_dev_n_M15
