test,asset,grid,tf,split,n_round,n_placebo,efeito_round,efeito_placebo,diff,ci_lo,ci_hi,primary_horizon_min,hold_rate_round,hold_rate_placebo,fwd_short_round,fwd_short_placebo,fwd_long_round,fwd_long_placebo,range_horizon_min,fwd_vshort_round,fwd_vshort_placebo,range_v_atr_round,range_v_atr_placebo,range_v_atr_diff,range_v_atr_ci_lo,range_v_atr_ci_hi,n_bars,n_days,ks_stat,ks_pvalue,mean_dist_atr_round,mean_dist_atr_placebo,fwd1_round,fwd1_placebo,fwd3_round,fwd3_placebo,n_discarded_rollover_round,n_discarded_rollover_placebo,bps_test,gate1_threshold,gate3_threshold,gate1,gate2,gate3,gate4_coherent
T3_magnet,WIN,g1000,M15,confirm,1385,1356,0.16492021909978566,0.16146701595618004,0.0034532031436056154,-0.021674803524648727,0.0298999761848059,,,,,,,,,,,,,,,,8398.0,221.0,,,,,,,,,,,False,6.0,150,False,,,True
T3_magnet,WIN,g500,H1,discovery,2161,2182,0.4459347915806851,0.45026826248452334,-0.004333470903838232,-0.02884308440114715,0.023102429388802304,,,,,,,,,,,,,,,,4846.0,519.0,,,,,,,,,,,False,6.0,150,,False,True,True
T3_magnet,WIN,g500,H1,confirm,706,744,0.3194570135746606,0.33665158371040727,-0.017194570135746656,-0.05248868778280541,0.01945701357466062,,,,,,,,,,,,,,,,2210.0,221.0,,,,,,,,,,,False,6.0,150,False,,,True
T3_magnet,WIN,g1000,H1,discovery,1076,1085,0.2220387948823772,0.22389599669830787,-0.0018572018159306591,-0.023728227048576904,0.018119583151235633,,,,,,,,,,,,,,,,4846.0,519.0,,,,,,,,,,,False,6.0,150,,False,True,True
T3_magnet,WIN,g1000,H1,confirm,343,363,0.15520361990950227,0.16425339366515837,-0.009049773755656104,-0.038461538461538436,0.02081447963800906,,,,,,,,,,,,,,,,2210.0,221.0,,,,,,,,,,,False,6.0,150,False,,,True
T3_magnet,WDO,g5,M5,discovery,21838,21844,0.9912846118928733,0.991556967771221,-0.0002723558783477298,-0.002224053443905849,0.001454380213386608,,,,,,,,,,,,,,,,22030.0,201.0,,,,,,,,,,,False,6.0,150,,True,True,True
T3_magnet,WDO,g5,M5,confirm,22239,22228,0.9489652229571154,0.9484958395562193,0.000469383400896084,-0.004833777209578269,0.006004704009471931,,,,,,,,,,,,,,,,23435.0,206.0,,,,,,,,,,,False,6.0,150,False,,,True
T3_magnet,WDO,g10,M5,discovery,13846,13728,0.6285065819337268,0.6231502496595551,0.005356332274171649,-0.01161790466412776,0.021296886678767616,,,,,,,,,,,,,,,,22030.0,201.0,,,,,,,,,,,False,6.0,150,,True,True,True
T3_magnet,WDO,g10,M5,confirm,14404,14957,0.6146362278643055,0.6382334115639001,-0.023597183699594626,-0.04284229861115136,-0.005040764057743132,,,,,,,,,,,,,,,,23435.0,206.0,,,,,,,,,,,False,6.0,150,False,,,True
T3_magnet,WDO,g5,M15,discovery,17428,17435,0.9962272779238596,0.9966274151137533,-0.0004001371898937345,-0.0016541748706017962,0.0009717200951977145,,,,,,,,,,,,,,,,17494.0,477.0,,,,,,,,,,,False,6.0,150,,True,True,True
T3_magnet,WDO,g5,M15,confirm,7429,7408,0.9509728622631849,0.9482846902201741,0.0026881720430107503,-0.003707843638221714,0.009198695503871956,,,,,,,,,,,,,,,,7812.0,206.0,,,,,,,,,,,False,6.0,150,False,,,True
T3_magnet,WDO,g10,M15,discovery,13417,13481,0.7669486681147822,0.7706070652795244,-0.0036583971647421443,-0.014163882068288478,0.006562240427064015,,,,,,,,,,,,,,,,17494.0,477.0,,,,,,,,,,,False,6.0,150,,False,True,True
T3_magnet,WDO,g10,M15,confirm,4823,4977,0.6173835125448028,0.6370967741935484,-0.01971326164874554,-0.04088098940325023,0.001416858669623028,,,,,,,,,,,,,,,,7812.0,206.0,,,,,,,,,,,False,6.0,150,False,,,True
T3_magnet,WDO,g5,H1,discovery,4442,4442,0.9957408652768438,0.9957408652768438,0.0,-0.002923976608187109,0.003343997764462103,,,,,,,,,,,,,,,,4461.0,477.0,,,,,,,,,,,False,6.0,150,,False,True,True
T3_magnet,WDO,g5,H1,confirm,1950,1953,0.9484435797665369,0.9499027237354085,-0.0014591439688715901,-0.01556496082402293,0.012135922330097082,,,,,,,,,,,,,,,,2056.0,206.0,,,,,,,,,,,False,6.0,150,False,,,True
T3_magnet,WDO,g10,H1,discovery,3436,3393,0.7702308899349921,0.7605917955615333,0.009639094373458779,-0.009168928808093871,0.02861726261434853,,,,,,,,,,,,,,,,4461.0,477.0,,,,,,,,,,,False,6.0,150,,False,True,True
T3_magnet,WDO,g10,H1,confirm,1270,1294,0.617704280155642,0.6293774319066148,-0.011673151750972721,-0.0486479071436666,0.025740291262135964,,,,,,,,,,,,,,,,2056.0,206.0,,,,,,,,,,,False,6.0,150,False,,,True
T4_barrier,WIN,g5000,D1,discovery,519,519,0.09441233140655106,0.10404624277456648,-0.009633911368015419,-0.04816955684007708,0.028901734104046242,,,,,,,,,,,,,,,,,,0.0674373795761079,0.18871820823773494,0.5693876341649453,0.5857098201145657,,,,,,,False,6.0,150,,True,True,True
T4_barrier,WIN,g5000,D1,confirm,221,221,0.049773755656108594,0.15384615384615385,-0.10407239819004527,-0.16300904977375566,-0.04977375565610859,,,,,,,,,,,,,,,,,,0.19004524886877827,0.0006627293094335413,0.8646447433273703,0.6602335508560816,,,,,,,False,6.0,150,False,,,True
T4_barrier,WDO,g50,D1,discovery,477,477,0.11320754716981132,0.1320754716981132,-0.018867924528301883,-0.0629454926624738,0.025157232704402524,,,,,,,,,,,,,,,,,,0.0880503144654088,0.04949493702428183,0.17727653049938766,0.1630997179353937,,,,,,,False,6.0,150,,True,True,True
T4_barrier,WDO,g50,D1,confirm,206,206,0.11165048543689321,0.10194174757281553,0.00970873786407768,-0.053398058252427175,0.0728155339805825,,,,,,,,,,,,,,,,,,0.07281553398058252,0.6469610717995885,0.22173590055514023,0.20966180073205673,,,,,,,False,6.0,150,False,,,True
T5_cross,WIN,g5000,D1,discovery,119,98,-58.110000136674394,-25.120460758183484,-32.98953937849091,-111.35033348007968,39.637188397524255,,,,,,,,,,,,,,,,,,,,,,-21.6341564940798,-7.912397587779749,-38.969776399020496,-29.21505157536308,19.0,26.0,True,25.0,60,False,False,True,True
