config_id,asset,arm,tf,family,split,n_trades,win_rate,pf_gross,pf_net2,pf_net4,pf_net6,exp_gross_bps,exp_net6_bps,avg_hold_bars,pf_net6_ex_top2,pf_net6_ex_top3,pior_ano_pf_net6,max_dd_bps
WIN_B_B6_d1_ema5x20,WIN,B,D1,B6_d1_ema5x20,discovery,127,0.4566929133858268,0.8406209063647073,0.8211160674598444,0.8020446568379987,0.7834754813057331,-14.846282842980683,-20.84628284298069,178.51968503937007,0.6505112537682831,0.5883839759097528,0.7208680079639438,4448.252070586104
WIN_B_B6_d1_ema5x20,WIN,B,D1,B6_d1_ema5x20,confirm,52,0.4423076923076923,1.0153093335655856,0.9817904011640696,0.9494504150915032,0.9182441316156719,0.9045170524628628,-5.0954829475371355,170.0,0.6779970537251246,0.5927022314595036,0.9182441316156719,996.977849178688
WIN_C_E1_h1_ema21x50_X1_next_open,WIN,C,M15/H1/D1,E1_h1_ema21x50_X1_next_open,discovery,537,0.40409683426443205,0.7754451104842653,0.7088102477158783,0.6480188678672051,0.5923550709498665,-5.614698872968289,-11.61469887296829,105.24953445065177,0.5560356854403016,0.5435600973644001,0.43920333711247583,6208.709412343563
WIN_C_E1_h1_ema21x50_X1_next_open,WIN,C,M15/H1/D1,E1_h1_ema21x50_X1_next_open,confirm,220,0.36363636363636365,0.7876272690778856,0.6766004253262938,0.5812929181522831,0.4995734061781365,-3.1045428515260203,-9.10454285152602,102.2,0.40165123817197923,0.3855899094984957,0.4995734061781365,2176.6371802824683
WIN_C_E1_h1_ema21x50_X2_0915_close,WIN,C,M15/H1/D1,E1_h1_ema21x50_X2_0915_close,discovery,537,0.43947858472998136,0.8482729655913083,0.7867430881823293,0.7296088628548602,0.6765775656559526,-4.374767339925829,-10.374767339925828,106.24953445065177,0.6501648711990284,0.6385848607410161,0.49886457615675944,5648.247852841697
WIN_C_E1_h1_ema21x50_X2_0915_close,WIN,C,M15/H1/D1,E1_h1_ema21x50_X2_0915_close,confirm,220,0.42727272727272725,0.9144202862710805,0.8145285031016318,0.7254456946573844,0.6462101235364978,-1.5528963608149897,-7.55289636081499,103.2,0.5543268969182777,0.5282855259953781,0.6462101235364978,1938.2595269572869
WIN_C_E2_d1_close_vs_ema20_X1_next_open,WIN,C,M15/H1/D1,E2_d1_close_vs_ema20_X1_next_open,discovery,536,0.39365671641791045,0.7304416537700519,0.6676164387709592,0.6102807797991551,0.5577485935712224,-6.913729860434348,-12.913729860434346,105.33208955223881,0.5297747339437392,0.5180403610304172,0.35587069718957753,6944.950326030745
WIN_C_E2_d1_close_vs_ema20_X1_next_open,WIN,C,M15/H1/D1,E2_d1_close_vs_ema20_X1_next_open,confirm,220,0.3181818181818182,0.5754391376735736,0.493616414570909,0.42302167780355276,0.3627216651920571,-7.042294851670263,-13.042294851670261,102.2,0.275670633305496,0.2613924033299501,0.3627216651920571,2893.2503964457455
WIN_C_E2_d1_close_vs_ema20_X2_0915_close,WIN,C,M15/H1/D1,E2_d1_close_vs_ema20_X2_0915_close,discovery,536,0.4253731343283582,0.8188107879842683,0.7596685070812874,0.7047993208164507,0.6538669786586516,-5.316629824707083,-11.31662982470708,106.33208955223881,0.6269721286565177,0.6155892371783435,0.49581423150867376,6155.1779383768235
WIN_C_E2_d1_close_vs_ema20_X2_0915_close,WIN,C,M15/H1/D1,E2_d1_close_vs_ema20_X2_0915_close,confirm,220,0.35909090909090907,0.6446820590909206,0.5733409166294402,0.5103923205838998,0.45473516010234405,-7.504886216114403,-13.504886216114404,103.2,0.37553593612506264,0.3530894413260956,0.45473516010234405,3006.8910864168197
WIN_C_E3_h1_macd_X1_next_open,WIN,C,M15/H1/D1,E3_h1_macd_X1_next_open,discovery,537,0.4059590316573557,0.7793284859592708,0.7122291895979767,0.651051104723073,0.5951634689681022,-5.5055580558727675,-11.505558055872767,105.24953445065177,0.5609833364200297,0.5495921885186665,0.5304899103243015,6300.529324011106
WIN_C_E3_h1_macd_X1_next_open,WIN,C,M15/H1/D1,E3_h1_macd_X1_next_open,confirm,220,0.4318181818181818,0.9881738049375937,0.8478020716977589,0.7268618876884513,0.6228911922671875,-0.15544135322975747,-6.155441353229757,102.2,0.5137455850108289,0.48723402189321907,0.6228911922671875,1379.2340163044603
WIN_C_E3_h1_macd_X2_0915_close,WIN,C,M15/H1/D1,E3_h1_macd_X2_0915_close,discovery,537,0.4171322160148976,0.7705453630231807,0.7146267031987487,0.6628109311616628,0.6146894136781991,-6.906338862871385,-12.906338862871387,106.24953445065177,0.5874402129487888,0.5765488649098611,0.527199984379433,7056.656024724339
WIN_C_E3_h1_macd_X2_0915_close,WIN,C,M15/H1/D1,E3_h1_macd_X2_0915_close,confirm,220,0.39090909090909093,0.9857053678731577,0.8790223180707447,0.7848014539207036,0.7016474015026113,-0.25007317258801615,-6.250073172588017,103.2,0.6080100579777177,0.580475035933541,0.7016474015026113,1399.5606856174309
WDO_A_G1_T1,WDO,A,M15,G1_T1,discovery,250,0.328,0.6814296830093071,0.5994641268120532,0.5281809287729542,0.4660902724025384,-5.779060154592246,-11.779060154592248,11.752,0.42517780175990677,0.4061578730138486,0.4130593424794831,2916.6368877917994
WDO_A_G1_T1,WDO,A,M15,G1_T1,confirm,110,0.2727272727272727,0.7287791562304239,0.6397074202781049,0.5636662517835574,0.4988903909361197,-4.582916118980792,-10.582916118980794,12.745454545454546,0.370210402916841,0.31512295953633945,0.4988903909361197,1415.6470467379263
WDO_A_G1_T2,WDO,A,M15,G1_T2,discovery,89,0.3258426966292135,0.5674576237300558,0.5116964667602216,0.4615982376671658,0.4166023848651989,-10.536139803632743,-16.536139803632743,15.157303370786517,0.3112144746400297,0.2755214014576223,0.16609298764479521,1430.0152177016698
WDO_A_G1_T2,WDO,A,M15,G1_T2,confirm,26,0.23076923076923078,0.847641413050907,0.7631978151549943,0.690329264698587,0.6268084527306094,-2.951215518644352,-8.951215518644352,14.961538461538462,0.19034634477890008,0.09841679107301823,0.6268084527306094,446.4365013368055
WDO_A_G1_T3,WDO,A,M15,G1_T3,discovery,479,0.34029227557411273,0.8644403004407258,0.7544407020367395,0.6599776796737941,0.5789269061698733,-2.0938437109557917,-8.09384371095579,8.855949895615867,0.5512968251248376,0.5383710282413684,0.32601958838874584,3818.9367626660423
WDO_A_G1_T3,WDO,A,M15,G1_T3,confirm,163,0.3006134969325153,0.897740960509132,0.7650864189817258,0.656342915475151,0.5657171589930995,-1.3002956475510175,-7.300295647551017,9.674846625766872,0.458512197712975,0.4086141685730723,0.5657171589930995,1182.0615627783047
WDO_A_G1_T4,WDO,A,M15,G1_T4,discovery,299,0.4214046822742475,0.8282485245284231,0.7612648237276448,0.6998145226132929,0.6434360514205248,-4.475081338089771,-10.47508133808977,21.076923076923077,0.6022021303745267,0.5833505323887611,0.314098279130812,3155.46438395822
WDO_A_G1_T4,WDO,A,M15,G1_T4,confirm,105,0.42857142857142855,0.949381211705725,0.8598546320030878,0.7787699611009178,0.705788532558328,-1.052179712766572,-7.052179712766573,22.97142857142857,0.5870140228828647,0.5361670794108648,0.705788532558328,877.6006873144711
WDO_A_G2_T1,WDO,A,M15,G2_T1,discovery,294,0.32653061224489793,0.7617468222099354,0.6743722742122628,0.5983997601572878,0.5320823123853338,-4.323042898043032,-10.323042898043031,12.724489795918368,0.4861398334753789,0.4660625126713333,0.466356434462774,3111.26305098467
WDO_A_G2_T1,WDO,A,M15,G2_T1,confirm,125,0.312,0.7825198240187587,0.6872900399057714,0.6052657728506257,0.5348208498746786,-3.647066877955591,-9.647066877955593,13.208,0.41950440131530237,0.37024359835851783,0.5348208498746786,1399.1228546016112
