date,year,weekday,open_0900,close_0915,close_prev_day,ret_first,ret_on_first,ret_on,ret_last,ret_last_method,vol_prev_range_pct,vol_tercile
2021-12-09,2021,Thursday,107450.0,107475.0,108400.0,0.00023266635644492162,-0.008533210332103303,-0.008763837638376404,-0.0010814369005077706,standard_1815_1745,0.011984880612150825,low
2021-12-10,2021,Friday,106850.0,107435.0,106410.0,0.005474964904071067,0.009632553331453853,0.004134949722770509,0.0012057132257465852,standard_1815_1745,0.016053978594695206,mid
2021-12-13,2021,Monday,108550.0,108160.0,108010.0,-0.003592814371257469,0.0013887602999722581,0.004999537079900085,-0.004717199278545969,standard_1815_1745,0.01502105755732335,mid
2021-12-14,2021,Tuesday,107340.0,108350.0,107820.0,0.009409353456307112,0.004915600074197668,-0.004451864218141366,-9.373828271463935e-05,standard_1815_1745,0.021234454168585905,high
2021-12-15,2021,Wednesday,108400.0,108555.0,106520.0,0.0014298892988930945,0.019104393541119036,0.01764926774314679,0.002161913523458958,standard_1815_1745,0.0262250791876281,high
2021-12-16,2021,Thursday,109830.0,110210.0,109075.0,0.003459892561231026,0.01040568416227372,0.006921842768737196,0.001002963300660964,standard_1815_1745,0.018173431734317343,mid
2021-12-17,2021,Friday,109470.0,109075.0,109965.0,-0.0036082945099114028,-0.008093484290456088,-0.004501432273905315,-0.0017026367861580072,standard_1815_1745,0.012701447691887462,low
2021-12-20,2021,Monday,107200.0,107010.0,108495.0,-0.0017723880597014796,-0.013687266694317746,-0.011936033918613753,0.003107490936484769,standard_1815_1745,0.014524527267744588,mid
2021-12-21,2021,Tuesday,107405.0,107305.0,106550.0,-0.0009310553512406061,0.007085875175973699,0.008024401689347815,0.00046831826909565777,standard_1815_1745,0.016184701492537312,mid
2021-12-22,2021,Wednesday,106550.0,106780.0,106640.0,0.0021586109807603115,0.0013128282070518082,-0.0008439609902475276,0.0009861932938854956,standard_1815_1745,0.01159163912294586,low
2021-12-23,2021,Thursday,107080.0,107130.0,106835.0,0.00046694060515495295,0.0027612673749239924,0.0022932559554453835,-0.0009893992932862306,standard_1815_1745,0.01337400281557954,mid
2021-12-27,2021,Monday,106100.0,106050.0,105600.0,-0.00047125353440147233,0.0042613636363635354,0.004734848484848397,-0.00018748535270685096,standard_1815_1745,0.015362345909600299,mid
2021-12-28,2021,Tuesday,107100.0,106965.0,106900.0,-0.0012605042016806678,0.0006080449017773493,0.00187090739008422,-0.0008015843078084117,standard_1815_1745,0.009660697455230915,low
2021-12-29,2021,Wednesday,106100.0,106175.0,105960.0,0.000706880301602153,0.0020290675726688523,0.001321253303133263,-0.0012821121610713249,standard_1815_1745,0.01437908496732026,mid
2021-12-30,2021,Thursday,105200.0,105465.0,104995.0,0.002519011406844074,0.004476403638268511,0.0019524739273297786,-0.001179634785070549,standard_1815_1745,0.014514608859566448,mid
2022-01-03,2022,Monday,106395.0,106600.0,105865.0,0.0019267822736031004,0.006942804515184475,0.005006376044963012,-0.0016191247202247405,standard_1815_1745,0.012452471482889733,low
2022-01-04,2022,Tuesday,105440.0,105455.0,104760.0,0.0001422610015173742,0.00663421153111865,0.0064910271095837135,-0.0005270976088935786,standard_1815_1745,0.027115935899243385,high
2022-01-05,2022,Wednesday,104570.0,104115.0,104435.0,-0.004351152338146647,-0.0030641068607267785,0.0012926700818691739,-0.0022539075897888283,standard_1815_1745,0.01654969650986343,mid
2022-01-06,2022,Thursday,101975.0,101750.0,101580.0,-0.002206423142927183,0.0016735577869659846,0.003888560740303193,0.0021037181996086396,standard_1815_1745,0.029788658315004303,high
2022-01-07,2022,Friday,102385.0,102590.0,102600.0,0.0020022464228157677,-9.746588693959612e-05,-0.002095516569200817,0.0019382662208653478,standard_1815_1745,0.01505270899730326,mid
2022-01-10,2022,Monday,102900.0,103025.0,103410.0,0.0012147716229349292,-0.0037230441930180547,-0.004931824775166849,0.004488680718188975,standard_1815_1745,0.018215558919763637,mid
2022-01-11,2022,Tuesday,103400.0,102935.0,103315.0,-0.004497098646034869,-0.003678071915985126,0.00082272661278604,0.0026827632461434714,standard_1815_1745,0.01608357628765792,mid
2022-01-12,2022,Wednesday,104800.0,104630.0,104775.0,-0.0016221374045801706,-0.0013839179193509965,0.00023860653781904162,-0.0013136905320446646,standard_1815_1745,0.022340425531914895,high
2022-01-13,2022,Thursday,106300.0,106070.0,106740.0,-0.002163687676387638,-0.006276934607457374,-0.004122166010867567,-0.001691411388836661,standard_1815_1745,0.02256679389312977,high
2022-01-14,2022,Friday,106135.0,106300.0,106300.0,0.00155462382814342,0.0,-0.0015522107243649552,0.0006963465020193293,standard_1815_1745,0.01284101599247413,mid
2022-01-17,2022,Monday,107660.0,107520.0,107985.0,-0.0013003901170350884,-0.004306153632448906,-0.00300967726999124,-0.0033064779024821744,standard_1815_1745,0.021529184529137418,high
2022-01-18,2022,Tuesday,106300.0,106490.0,107000.0,0.0017873941674506622,-0.004766355140186862,-0.0065420560747663226,0.00392193482117853,standard_1815_1745,0.010588890953000186,low
2022-01-19,2022,Wednesday,107530.0,108295.0,107530.0,0.0071142936854831085,0.0071142936854831085,0.0,-0.001514942845338152,standard_1815_1745,0.01495766698024459,mid
2022-01-20,2022,Thursday,109400.0,108945.0,108850.0,-0.004159049360146216,0.000872760679834661,0.005052824988516225,-0.0013210641399417078,standard_1815_1745,0.016786013205617036,mid
2022-01-21,2022,Friday,109500.0,109070.0,109850.0,-0.003926940639269461,-0.007100591715976323,-0.003186162949476601,-0.0013238382178398789,standard_1815_1745,0.015676416819012797,mid
2022-01-24,2022,Monday,108955.0,109185.0,109550.0,0.0021109632417053437,-0.0033318119580100225,-0.005431309904153303,0.003322565759114049,standard_1815_1745,0.014063926940639269,mid
2022-01-25,2022,Tuesday,108475.0,107890.0,109015.0,-0.005392947683798055,-0.010319680777874596,-0.004953446773379833,-0.0013958305191589249,standard_1815_1745,0.020329493827727044,high
2022-01-26,2022,Wednesday,111570.0,112075.0,110805.0,0.004526306354754928,0.011461576643653215,0.0069040205766888185,-0.0016954446080399421,standard_1815_1745,0.03424752247061535,high
2022-01-27,2022,Thursday,112110.0,112740.0,112080.0,0.0056194808670055885,0.005888650963597364,0.0002676659528908498,-0.00044226261554114465,standard_1815_1745,0.016536703414896478,mid
2022-01-28,2022,Friday,112640.0,112400.0,112900.0,-0.0021306818181817677,-0.004428697962798989,-0.002302922940655483,0.00035650623885907784,standard_1815_1745,0.013201320132013201,mid
2022-01-31,2022,Monday,112470.0,112000.0,112440.0,-0.004178892149017566,-0.003913198150124475,0.00026680896478126215,-0.0022151337940811144,standard_1815_1745,0.014115767045454546,mid
2022-02-01,2022,Tuesday,112540.0,112570.0,112430.0,0.0002665718855519028,0.001245219247531848,0.0009783865516321821,0.001320596909803129,standard_1815_1745,0.013025695741086512,mid
2022-02-02,2022,Wednesday,114000.0,113690.0,113745.0,-0.0027192982456140102,-0.00048353773792253474,0.0022418567849136206,-0.0028917163448705097,standard_1815_1745,0.012395592678158877,low
2022-02-03,2022,Thursday,111590.0,112170.0,112030.0,0.00519759835110678,0.00124966526823167,-0.003927519414442582,0.0005353796734184346,standard_1815_1745,0.020789473684210528,high
2022-02-04,2022,Friday,112000.0,111875.0,112490.0,-0.0011160714285713969,-0.005467152635789896,-0.00435594275046669,-0.0017317170640734902,standard_1815_1745,0.010932879290258983,low
2022-02-07,2022,Monday,112350.0,111860.0,112285.0,-0.004361370716510882,-0.0037850113550340625,0.000578884089593501,-0.000934829059829112,standard_1815_1745,0.01924107142857143,high
2022-02-08,2022,Tuesday,111900.0,111890.0,112320.0,-8.936550491511763e-05,-0.0038283475783476018,-0.003739316239316226,0.0015577017223731282,standard_1815_1745,0.008767245215843347,low
2022-02-09,2022,Wednesday,113000.0,112450.0,112750.0,-0.004867256637168138,-0.002660753880266098,0.0022172949002217113,-4.4424700133327555e-05,standard_1815_1745,0.01519213583556747,mid
2022-02-10,2022,Thursday,112500.0,112865.0,112395.0,0.003244444444444383,0.0041816806797454475,0.0009342052582410609,0.000705467372134061,standard_1815_1745,0.013141592920353983,mid
2022-02-11,2022,Friday,113120.0,114025.0,113495.0,0.00800035360678919,0.004669809242697998,-0.0033041103132296357,0.001102244169128408,standard_1815_1745,0.015466666666666667,mid
2022-02-14,2022,Monday,113000.0,113435.0,113800.0,0.003849557522123792,-0.00320738137082599,-0.007029876977152849,0.0010981770261366819,standard_1815_1745,0.01670792079207921,mid
