date,level,direction,entry_price,exit_price,exit_reason,gross_bps,net_bps_1.0,net_bps_1.5,net_bps_2.0
2021-12-06,PDH,short,107130.0,106915.74,tp,19.99999999999951,18.99999999999951,18.49999999999951,17.99999999999951
2021-12-07,PDH,short,107860.0,108129.65,stop,-24.99999999999946,-25.99999999999946,-26.49999999999946,-26.99999999999946
2021-12-09,PDL,long,107480.0,107211.3,stop,-24.999999999999726,-25.999999999999726,-26.499999999999726,-26.999999999999726
2021-12-10,PDH,short,107680.0,107949.2,stop,-24.99999999999973,-25.99999999999973,-26.49999999999973,-26.99999999999973
2021-12-13,PDH,short,108455.0,108238.09,tp,20.00000000000032,19.00000000000032,18.50000000000032,18.00000000000032
2021-12-14,PDL,long,107320.0,107051.70000000001,stop,-24.999999999998916,-25.999999999998916,-26.499999999998916,-26.999999999998916
2021-12-16,PDH,short,109145.0,109417.86249999999,stop,-24.999999999998934,-25.999999999998934,-26.499999999998934,-26.999999999998934
2021-12-17,PDL,long,109140.0,108867.15000000001,stop,-24.999999999999197,-25.999999999999197,-26.499999999999197,-26.999999999999197
2021-12-21,PDH,short,107420.0,107205.16,tp,19.999999999999677,18.999999999999677,18.499999999999677,17.999999999999677
2021-12-22,PDL,long,106335.0,106547.67,tp,19.999999999999837,18.999999999999837,18.499999999999837,17.999999999999837
2021-12-23,PDH,short,107070.0,106855.86,tp,19.999999999999943,18.999999999999943,18.499999999999943,17.999999999999943
2021-12-28,PDH,short,106960.0,106746.08,tp,19.999999999999837,18.999999999999837,18.499999999999837,17.999999999999837
2021-12-28,PDL,long,105935.0,105670.1625,stop,-24.99999999999945,-25.99999999999945,-26.49999999999945,-26.99999999999945
2021-12-29,PDL,long,105625.0,105836.25,tp,20.0,19.0,18.5,18.0
2021-12-30,PDH,short,106445.0,106232.11,tp,19.999999999999943,18.999999999999943,18.499999999999943,17.999999999999943
2022-01-03,PDH,short,106490.0,106277.02,tp,19.99999999999962,18.99999999999962,18.49999999999962,17.99999999999962
2022-01-03,PDL,long,105180.0,105390.36,tp,20.000000000000057,19.000000000000057,18.500000000000057,18.000000000000057
2022-01-04,PDL,long,104360.0,104568.72,tp,20.000000000000114,19.000000000000114,18.500000000000114,18.000000000000114
2022-01-05,PDL,long,104040.0,103779.90000000001,stop,-24.999999999999158,-25.999999999999158,-26.499999999999158,-26.999999999999158
2022-01-07,PDH,short,103180.0,102973.64,tp,20.000000000000057,19.000000000000057,18.500000000000057,18.000000000000057
2022-01-10,PDL,long,101855.0,102058.71,tp,20.00000000000063,19.00000000000063,18.50000000000063,18.00000000000063
2022-01-11,PDH,short,103405.0,103198.19,tp,19.999999999999776,18.999999999999776,18.499999999999776,17.999999999999776
2022-01-12,PDH,short,104875.0,104665.25,tp,20.0,19.0,18.5,18.0
2022-01-13,PDH,short,106740.0,106526.52,tp,19.99999999999962,18.99999999999962,18.49999999999962,17.99999999999962
2022-01-14,PDH,short,107015.0,106800.97,tp,19.999999999999893,18.999999999999893,18.499999999999893,17.999999999999893
2022-01-18,PDL,long,106715.0,106928.43,tp,19.999999999999346,18.999999999999346,18.499999999999346,17.999999999999346
2022-01-19,PDH,short,107745.0,108014.36249999999,stop,-24.99999999999892,-25.99999999999892,-26.49999999999892,-26.99999999999892
2022-01-20,PDH,short,109315.0,109096.37,tp,20.000000000000426,19.000000000000426,18.500000000000426,18.000000000000426
2022-01-24,PDL,long,108890.0,109107.78,tp,19.999999999999893,18.999999999999893,18.499999999999893,17.999999999999893
2022-01-25,PDH,short,109350.0,109131.3,tp,19.999999999999737,18.999999999999737,18.499999999999737,17.999999999999737
2022-01-27,PDH,short,113270.0,113043.46,tp,19.999999999999435,18.999999999999435,18.499999999999435,17.999999999999435
2022-01-28,PDL,long,112100.0,112324.2,tp,19.99999999999974,18.99999999999974,18.49999999999974,17.99999999999974
2022-01-31,PDL,long,111890.0,112113.78,tp,19.999999999999897,18.999999999999897,18.499999999999897,17.999999999999897
2022-02-01,PDH,short,113040.0,112813.92,tp,20.000000000000156,19.000000000000156,18.500000000000156,18.000000000000156
2022-02-02,PDH,short,113795.0,113567.41,tp,19.99999999999969,18.99999999999969,18.49999999999969,17.99999999999969
2022-02-02,PDL,long,112400.0,112624.8,tp,20.00000000000026,19.00000000000026,18.50000000000026,18.00000000000026
2022-02-03,PDL,long,111765.0,111988.53,tp,19.999999999999897,18.999999999999897,18.499999999999897,17.999999999999897
2022-02-04,PDL,long,111525.0,111246.1875,stop,-25.0,-26.0,-26.5,-27.0
2022-02-08,PDL,long,111655.0,111375.8625,stop,-24.99999999999974,-25.99999999999974,-26.49999999999974,-26.99999999999974
2022-02-09,PDH,short,112750.0,113031.875,stop,-25.0,-26.0,-26.5,-27.0
2022-02-10,PDH,short,113360.0,113643.4,stop,-24.999999999999485,-25.999999999999485,-26.499999999999485,-26.999999999999485
2022-02-11,PDH,short,113985.0,114269.9625,stop,-24.99999999999949,-25.99999999999949,-26.49999999999949,-26.99999999999949
2022-02-14,PDL,long,113100.0,113326.2,tp,19.999999999999744,18.999999999999744,18.499999999999744,17.999999999999744
2022-02-15,PDH,short,114310.0,114355.0,time,-3.9366634590149596,-4.93666345901496,-5.43666345901496,-5.93666345901496
2022-02-17,PDL,long,116255.0,116487.51,tp,19.99999999999955,18.99999999999955,18.49999999999955,17.99999999999955
2022-02-18,PDL,long,114800.0,115029.6,tp,20.000000000000508,19.000000000000508,18.500000000000508,18.000000000000508
2022-02-21,PDL,long,114060.0,114288.12,tp,19.99999999999959,18.99999999999959,18.49999999999959,17.99999999999959
2022-02-23,PDH,short,114795.0,114565.41,tp,19.999999999999698,18.999999999999698,18.499999999999698,17.999999999999698
2022-02-23,PDL,long,113585.0,113301.0375,stop,-24.99999999999949,-25.99999999999949,-26.49999999999949,-26.99999999999949
2022-02-25,PDH,short,112870.0,112644.26,tp,20.000000000000465,19.000000000000465,18.500000000000465,18.000000000000465
2022-03-03,PDH,short,116670.0,116436.66,tp,19.9999999999997,18.9999999999997,18.4999999999997,17.9999999999997
2022-03-04,PDL,long,116190.0,115899.52500000001,stop,-24.99999999999925,-25.99999999999925,-26.49999999999925,-26.99999999999925
2022-03-07,PDL,long,114545.0,114258.63750000001,stop,-24.999999999998987,-25.999999999998987,-26.499999999998987,-26.999999999998987
2022-03-09,PDH,short,113645.0,113417.71,tp,19.999999999999435,18.999999999999435,18.499999999999435,17.999999999999435
2022-03-11,PDH,short,114650.0,114936.625,stop,-25.0,-26.0,-26.5,-27.0
2022-03-11,PDL,long,112775.0,112493.0625,stop,-25.0,-26.0,-26.5,-27.0
2022-03-14,PDL,long,112145.0,111864.63750000001,stop,-24.999999999998963,-25.999999999998963,-26.499999999998963,-26.999999999998963
2022-03-15,PDL,long,110505.0,110228.7375,stop,-24.999999999999737,-25.999999999999737,-26.499999999999737,-26.999999999999737
2022-03-16,PDH,short,110945.0,110723.11,tp,19.999999999999947,18.999999999999947,18.499999999999947,17.999999999999947
2022-03-17,PDH,short,112330.0,112105.34,tp,20.000000000000313,19.000000000000313,18.500000000000313,18.000000000000313
2022-03-18,PDH,short,113990.0,113762.02,tp,19.99999999999964,18.99999999999964,18.49999999999964,17.99999999999964
2022-03-21,PDH,short,116095.0,115862.81,tp,20.0000000000002,19.0000000000002,18.5000000000002,18.0000000000002
2022-03-22,PDH,short,117145.0,117437.86249999999,stop,-24.99999999999901,-25.99999999999901,-26.49999999999901,-26.99999999999901
2022-03-23,PDH,short,118290.0,118053.42,tp,20.00000000000015,19.00000000000015,18.50000000000015,18.00000000000015
2022-03-24,PDH,short,118935.0,119232.3375,stop,-24.99999999999951,-25.99999999999951,-26.49999999999951,-26.99999999999951
2022-03-25,PDH,short,120000.0,120300.0,stop,-25.0,-26.0,-26.5,-27.0
2022-03-28,PDL,long,119065.0,119303.13,tp,20.00000000000039,19.00000000000039,18.50000000000039,18.00000000000039
2022-03-29,PDH,short,120235.0,120535.5875,stop,-24.999999999999513,-25.999999999999513,-26.499999999999513,-26.999999999999513
2022-03-31,PDH,short,121110.0,120867.78,tp,20.000000000000096,19.000000000000096,18.500000000000096,18.000000000000096
2022-04-01,PDH,short,121330.0,121087.34,tp,20.000000000000288,19.000000000000288,18.500000000000288,18.000000000000288
2022-04-04,PDH,short,122225.0,121980.55,tp,19.999999999999762,18.999999999999762,18.499999999999762,17.999999999999762
2022-04-05,PDL,long,121035.0,121277.07,tp,20.000000000000576,19.000000000000576,18.500000000000576,18.000000000000576
2022-04-06,PDL,long,118800.0,118503.0,stop,-25.0,-26.0,-26.5,-27.0
2022-04-07,PDH,short,118860.0,118622.28,tp,20.000000000000096,19.000000000000096,18.500000000000096,18.000000000000096
2022-04-08,PDL,long,117535.0,117770.07,tp,20.000000000000593,19.000000000000593,18.500000000000593,18.000000000000593
2022-04-11,PDL,long,117515.0,117750.03,tp,19.9999999999999,18.9999999999999,18.4999999999999,17.9999999999999
2022-04-12,PDH,short,117830.0,118124.575,stop,-24.999999999999755,-25.999999999999755,-26.499999999999755,-26.999999999999755
2022-04-12,PDL,long,116750.0,116983.5,tp,20.0,19.0,18.5,18.0
2022-04-13,PDH,short,118590.0,118886.47499999999,stop,-24.999999999999265,-25.999999999999265,-26.499999999999265,-26.999999999999265
2022-04-14,PDL,long,118295.0,118531.59,tp,19.999999999999705,18.999999999999705,18.499999999999705,17.999999999999705
2022-04-18,PDL,long,117570.0,117805.14,tp,19.999999999999947,18.999999999999947,18.499999999999947,17.999999999999947
2022-04-19,PDL,long,117095.0,116802.26250000001,stop,-24.99999999999901,-25.99999999999901,-26.49999999999901,-26.99999999999901
2022-04-20,PDL,long,116110.0,116342.22,tp,20.0000000000001,19.0000000000001,18.5000000000001,18.0000000000001
2022-04-25,PDL,long,112240.0,111959.40000000001,stop,-24.999999999999226,-25.999999999999226,-26.499999999999226,-26.999999999999226
2022-04-26,PDL,long,110825.0,111046.65,tp,19.999999999999474,18.999999999999474,18.499999999999474,17.999999999999474
2022-04-28,PDH,short,111705.0,111984.2625,stop,-24.99999999999974,-25.99999999999974,-26.49999999999974,-26.99999999999974
2022-04-28,PDL,long,110390.0,110610.78,tp,19.999999999999897,18.999999999999897,18.499999999999897,17.999999999999897
2022-04-29,PDH,short,112270.0,112045.46,tp,19.999999999999428,18.999999999999428,18.499999999999428,17.999999999999428
2022-04-29,PDL,long,110325.0,110049.1875,stop,-25.0,-26.0,-26.5,-27.0
2022-05-02,PDL,long,108425.0,108153.9375,stop,-25.0,-26.0,-26.5,-27.0
2022-05-04,PDL,long,107315.0,107046.71250000001,stop,-24.999999999999186,-25.999999999999186,-26.499999999999186,-26.999999999999186
2022-05-04,PDH,short,108520.0,108791.29999999999,stop,-24.99999999999893,-25.99999999999893,-26.49999999999893,-26.99999999999893
2022-05-05,PDL,long,106115.0,106327.23,tp,19.999999999999613,18.999999999999613,18.499999999999613,17.999999999999613
2022-05-06,PDL,long,105065.0,105275.13,tp,20.000000000000444,19.000000000000444,18.500000000000444,18.000000000000444
2022-05-09,PDL,long,105065.0,104802.33750000001,stop,-24.99999999999917,-25.99999999999917,-26.49999999999917,-26.99999999999917
2022-05-10,PDL,long,103925.0,104132.85,tp,20.00000000000056,19.00000000000056,18.50000000000056,18.00000000000056
2022-05-11,PDH,short,105290.0,105079.42,tp,20.000000000000167,19.000000000000167,18.500000000000167,18.000000000000167
2022-05-12,PDH,short,106420.0,106207.16,tp,19.99999999999967,18.99999999999967,18.49999999999967,17.99999999999967
2022-05-16,PDH,short,108810.0,108592.38,tp,19.99999999999957,18.99999999999957,18.49999999999957,17.99999999999957
2022-05-17,PDH,short,109800.0,110074.5,stop,-25.0,-26.0,-26.5,-27.0
2022-05-18,PDL,long,109225.0,109443.45,tp,19.99999999999973,18.99999999999973,18.49999999999973,17.99999999999973
2022-05-19,PDL,long,106775.0,106508.0625,stop,-25.0,-26.0,-26.5,-27.0
2022-05-20,PDH,short,108270.0,108540.67499999999,stop,-24.999999999998924,-25.999999999998924,-26.499999999998924,-26.999999999998924
2022-05-24,PDL,long,109840.0,110059.68,tp,19.999999999999364,18.999999999999364,18.499999999999364,17.999999999999364
2022-05-25,PDH,short,111530.0,111306.94,tp,19.999999999999794,18.999999999999794,18.499999999999794,17.999999999999794
2022-05-26,PDH,short,111745.0,111521.51,tp,20.00000000000047,19.00000000000047,18.50000000000047,18.00000000000047
2022-05-27,PDH,short,112790.0,112564.42,tp,20.000000000000156,19.000000000000156,18.500000000000156,18.000000000000156
2022-05-30,PDH,short,113080.0,113362.7,stop,-24.999999999999744,-25.999999999999744,-26.499999999999744,-26.999999999999744
2022-05-30,PDL,long,111960.0,112183.92,tp,19.999999999999844,18.999999999999844,18.499999999999844,17.999999999999844
2022-06-02,PDH,short,112440.0,112215.12,tp,20.000000000000412,19.000000000000412,18.500000000000412,18.000000000000412
2022-06-03,PDL,long,111525.0,111246.1875,stop,-25.0,-26.0,-26.5,-27.0
2022-06-06,PDH,short,112395.0,112675.98749999999,stop,-24.999999999998963,-25.999999999998963,-26.499999999998963,-26.999999999998963
2022-06-06,PDL,long,111235.0,111457.47,tp,20.000000000000103,19.000000000000103,18.500000000000103,18.000000000000103
2022-06-07,PDL,long,110255.0,109979.3625,stop,-24.999999999999737,-25.999999999999737,-26.499999999999737,-26.999999999999737
2022-06-08,PDL,long,109620.0,109839.24,tp,20.000000000000476,19.000000000000476,18.500000000000476,18.000000000000476
2022-06-09,PDL,long,108215.0,108431.43,tp,19.999999999999353,18.999999999999353,18.499999999999353,17.999999999999353
2022-06-10,PDL,long,107160.0,106892.1,stop,-24.99999999999946,-25.99999999999946,-26.49999999999946,-26.99999999999946
2022-06-14,PDL,long,101760.0,101963.52,tp,20.000000000000398,19.000000000000398,18.500000000000398,18.000000000000398
2022-06-20,PDL,long,100315.0,100515.63,tp,20.000000000000465,19.000000000000465,18.500000000000465,18.000000000000465
2022-06-21,PDH,short,102290.0,102545.72499999999,stop,-24.999999999999147,-25.999999999999147,-26.499999999999147,-26.999999999999147
2022-06-22,PDL,long,100845.0,100592.88750000001,stop,-24.999999999998845,-25.999999999998845,-26.499999999998845,-26.999999999998845
2022-06-23,PDL,long,99770.0,99969.54,tp,19.999999999999357,18.999999999999357,18.499999999999357,17.999999999999357
2022-06-27,PDH,short,101040.0,100837.92,tp,20.000000000000174,19.000000000000174,18.500000000000174,18.000000000000174
2022-06-28,PDH,short,102945.0,103202.36249999999,stop,-24.99999999999887,-25.99999999999887,-26.49999999999887,-26.99999999999887
2022-06-29,PDL,long,101470.0,101672.94,tp,20.00000000000023,19.00000000000023,18.50000000000023,18.00000000000023
2022-06-30,PDL,long,100665.0,100413.33750000001,stop,-24.999999999999133,-25.999999999999133,-26.499999999999133,-26.999999999999133
2022-07-01,PDL,long,99075.0,99273.15,tp,19.99999999999941,18.99999999999941,18.49999999999941,17.99999999999941
