date,instrument,weekday,year,dst_regime,anchor_time_local,n_bars_day,first_bar_time,last_bar_time,is_roll,day_open,day_close,ret_day,gap_on,anchor_found,anchor_late,valid_for_conditional,ret_morning,ret_post,ret_ny30,ret_post_after30,ret_ny60,morning_high,morning_low,range_morning_pts,range_morning_pct,tr_sum_morning,volu_morning,tr_sum_post,volu_post,vol_par,broke_high,broke_low,t_first_break,false_break_high,false_break_low
2023-04-06,WDO,Thursday,2023,EDT,10:30:00,36,09:00:00,17:45:00,False,5063.0,5078.5,0.0030614260319967723,0.0009885330170027462,True,False,True,0.004444005530318096,-0.0013764624913971124,0.0022613312358665816,-0.0036295860309986105,-9.831874938548424e-05,5099.5,5058.5,41.0,0.0080979656330239,72.5,219416,186.0,382373,0.5131034482758621,True,False,0.0,True,False
2023-04-10,WDO,Monday,2023,EDT,10:30:00,36,09:00:00,17:45:00,False,5074.0,5087.5,0.0026606227828143147,-0.0008860884119326062,True,False,True,0.006011036657469493,-0.003330394749730625,-0.0006856695072975372,-0.0026465398941384333,-0.0011754334410813971,5109.5,5055.5,54.0,0.01064249113125739,89.0,264802,151.0,350166,0.3393258426966292,False,False,,False,False
2023-04-11,WDO,Tuesday,2023,EDT,10:30:00,36,09:00:00,17:45:00,False,5070.0,5021.5,-0.009566074950690284,-0.003439803439803435,True,False,True,-0.010355029585798814,0.0007972097658195398,0.0005979073243647104,0.00019918334827218054,-0.0008968609865470656,5075.5,5003.0,72.5,0.014299802761341223,104.0,360909,189.5,444193,0.36442307692307696,False,False,,False,False
2023-04-12,WDO,Wednesday,2023,EDT,10:30:00,36,09:00:00,17:45:00,False,5026.5,4933.5,-0.01850193971948677,0.0009957184108333461,True,False,True,-0.011837262508703872,-0.006744513791020701,-0.0016106301590497196,-0.005142165759225659,-0.007046506945842523,5028.0,4957.5,70.5,0.014025663980901224,167.0,410941,306.0,595884,0.36646706586826344,False,True,0.0,False,False
2023-04-13,WDO,Thursday,2023,EDT,10:30:00,36,09:00:00,17:45:00,False,4936.0,4940.0,0.0008103727714747766,0.0005067396371745136,True,False,True,0.00010129659643443034,0.0007090043553124037,-0.003646308113035568,0.004371251397783826,-0.0022282994024106495,4952.0,4916.0,36.0,0.007293354943273906,118.5,343135,235.0,493849,0.39662447257383965,False,True,15.0,False,True
2023-04-14,WDO,Friday,2023,EDT,10:30:00,36,09:00:00,17:45:00,False,4947.5,4919.0,-0.005760485093481593,0.0015182186234816708,True,False,True,0.003941384537645254,-0.009663780954298318,-0.0024159452385745794,-0.007265388496468184,0.00010066438494060748,4969.0,4902.5,66.5,0.013441131884790299,138.0,324357,218.5,459074,0.31666666666666665,True,False,30.0,True,False
2023-04-17,WDO,Monday,2023,EDT,10:30:00,36,09:00:00,17:45:00,False,4930.0,4950.5,0.004158215010142019,0.0022362268753812753,True,False,True,0.0028397565922921864,0.0013147249190939014,0.00222491909385103,-0.000908173562058523,0.00222491909385103,4947.0,4909.0,38.0,0.007707910750507099,84.0,275445,193.5,449879,0.46071428571428574,True,False,0.0,False,False
2023-04-18,WDO,Tuesday,2023,EDT,10:30:00,37,09:00:00,18:00:00,False,4927.5,4993.5,0.013394216133942205,-0.004645995354004673,True,False,True,0.013089802130898054,0.00030048076923083755,-0.0013020833333333703,0.0016046534951359437,-0.002804487179487225,4994.0,4918.5,75.5,0.015322171486555049,103.0,311895,256.5,536336,0.4819918571875978,True,False,0.0,True,False
2023-04-19,WDO,Wednesday,2023,EDT,10:30:00,36,09:00:00,17:45:00,False,5019.5,5083.0,0.01265066241657542,0.005206768799439265,True,False,True,0.004582129694192583,0.008031730292513695,0.005156172533465453,0.002860806944855465,9.915716410513475e-05,5048.0,5012.5,35.5,0.007072417571471262,79.0,314620,269.0,605674,0.6810126582278482,True,False,0.0,False,False
2023-04-20,WDO,Thursday,2023,EDT,10:30:00,36,09:00:00,17:45:00,False,5091.5,5056.0,-0.00697240498870666,0.0016722408026756952,True,False,True,-0.004419129922419773,-0.0025646084040245043,-0.0005918327086210651,-0.001973943939992062,-0.0028605247583349813,5092.5,5059.0,33.5,0.0065795934400471375,90.5,302044,200.0,402878,0.4419889502762431,False,True,30.0,False,False
