thesis,market,split,param_a_name,param_a,param_b_name,param_b,metric,point_bps,ci_lo_bps,ci_hi_bps,n,note
S3,WDO,H2,P,3,F,1,spread_Q1_minus_Q5_bps_per_day,2.7496,-19.4677,25.7751,174,
S3,WDO,DISCOVERY_G3,P,3,F,1,spread_Q1_minus_Q5_bps_per_day_g3,4.4213,-14.0662,22.8007,327,n_removed=17
S3,WDO,DISCOVERY,P,3,F,3,spread_Q1_minus_Q5_bps_per_day,18.9884,-0.7941,40.5385,115,
S3,WDO,H1,P,3,F,3,spread_Q1_minus_Q5_bps_per_day,29.8926,-3.4709,63.8705,58,
S3,WDO,H2,P,3,F,3,spread_Q1_minus_Q5_bps_per_day,5.8745,-17.0711,27.7569,58,
S3,WDO,DISCOVERY_G3,P,3,F,3,spread_Q1_minus_Q5_bps_per_day_g3,24.2989,4.3435,43.7044,109,n_removed=6
S3,WDO,DISCOVERY,P,3,F,5,spread_Q1_minus_Q5_bps_per_day,16.4659,-6.3699,36.4591,69,
S3,WDO,H1,P,3,F,5,spread_Q1_minus_Q5_bps_per_day,15.7219,-22.315,48.4911,34,
S3,WDO,H2,P,3,F,5,spread_Q1_minus_Q5_bps_per_day,1.2878,-16.2645,20.8358,35,
S3,WDO,DISCOVERY_G3,P,3,F,5,spread_Q1_minus_Q5_bps_per_day_g3,6.5303,-16.2572,24.7087,66,n_removed=3
S3,WDO,DISCOVERY,P,5,F,1,spread_Q1_minus_Q5_bps_per_day,16.3051,-3.3526,36.2626,344,
S3,WDO,H1,P,5,F,1,spread_Q1_minus_Q5_bps_per_day,28.7461,-6.6653,63.8146,170,
S3,WDO,H2,P,5,F,1,spread_Q1_minus_Q5_bps_per_day,7.5703,-15.0818,28.9213,174,
S3,WDO,DISCOVERY_G3,P,5,F,1,spread_Q1_minus_Q5_bps_per_day_g3,5.8518,-12.1202,23.8838,327,n_removed=17
S3,WDO,DISCOVERY,P,5,F,3,spread_Q1_minus_Q5_bps_per_day,18.5427,-1.6252,39.4101,114,
S3,WDO,H1,P,5,F,3,spread_Q1_minus_Q5_bps_per_day,35.3909,4.1017,65.7273,57,
S3,WDO,H2,P,5,F,3,spread_Q1_minus_Q5_bps_per_day,12.1307,-7.0897,32.961,58,
S3,WDO,DISCOVERY_G3,P,5,F,3,spread_Q1_minus_Q5_bps_per_day_g3,4.2901,-12.5048,22.4974,108,n_removed=6
S3,WDO,DISCOVERY,P,5,F,5,spread_Q1_minus_Q5_bps_per_day,4.8222,-14.8038,25.4621,69,
S3,WDO,H1,P,5,F,5,spread_Q1_minus_Q5_bps_per_day,9.0683,-26.9844,40.9426,34,
S3,WDO,H2,P,5,F,5,spread_Q1_minus_Q5_bps_per_day,7.1872,-13.148,25.6757,35,
S3,WDO,DISCOVERY_G3,P,5,F,5,spread_Q1_minus_Q5_bps_per_day_g3,-4.4362,-22.9913,13.5696,66,n_removed=3
S4_TOM,WDO,DISCOVERY,,,,,diff_tom_minus_nontom_bps,4.4656,-11.8436,21.1997,862,
S4_TOM,WDO,H1,,,,,diff_tom_minus_nontom_bps,-0.4435,-29.6491,28.1699,426,
S4_TOM,WDO,H2,,,,,diff_tom_minus_nontom_bps,9.4402,-11.3294,28.7085,436,
S4_DOW,WDO,DISCOVERY,weekday,Mon,,,mean_ret_bps,2.3869,-13.2082,17.4846,173,
S4_DOW,WDO,DISCOVERY,weekday,Tue,,,mean_ret_bps,0.7538,-12.7899,14.0848,172,
S4_DOW,WDO,DISCOVERY,weekday,Wed,,,mean_ret_bps,-4.2623,-17.8787,10.0593,173,
S4_DOW,WDO,DISCOVERY,weekday,Thu,,,mean_ret_bps,2.892,-10.0282,16.1428,173,
S4_DOW,WDO,DISCOVERY,weekday,Fri,,,mean_ret_bps,-2.6279,-17.0356,12.1212,171,
S4_DOW,WDO,DISCOVERY,spread,Thu-Wed,,,spread_best_minus_worst_bps,7.1544,-11.7142,27.445,346,
S4_DOW,WDO,H1,best_day,Mon,,,mean_ret_bps,4.2839,,,85,
S4_DOW,WDO,H1,worst_day,Wed,,,mean_ret_bps,-14.6296,,,86,
S4_DOW,WDO,H2,best_day,Tue,,,mean_ret_bps,7.4807,,,89,
S4_DOW,WDO,H2,worst_day,Fri,,,mean_ret_bps,-3.1918,,,86,
