signal,k,h,half,quintile,n,mean_fwd_ret_bps,spread_q5_q1_bps,ci95_lo,ci95_hi,spearman,n_quintiles_valid
LARGE_OFI,15,15,H2,2,1605,0.311710460889039,-0.12050067478359944,-1.4640753731028786,1.4576986684244235,-0.19999999999999998,5
LARGE_OFI,15,15,H2,3,1604,0.18273428744927278,-0.12050067478359944,-1.4640753731028786,1.4576986684244235,-0.19999999999999998,5
LARGE_OFI,15,15,H2,4,1605,0.4926930722162602,-0.12050067478359944,-1.4640753731028786,1.4576986684244235,-0.19999999999999998,5
LARGE_OFI,15,15,H2,5,1605,0.4358311605944018,-0.12050067478359944,-1.4640753731028786,1.4576986684244235,-0.19999999999999998,5
LARGE_OFI,15,30,H1,1,1954,0.480978941113438,-0.42777563955648334,-1.767169772343508,0.8905291376271898,-0.09999999999999999,5
LARGE_OFI,15,30,H1,2,1954,0.72766975395779,-0.42777563955648334,-1.767169772343508,0.8905291376271898,-0.09999999999999999,5
LARGE_OFI,15,30,H1,3,1953,0.9703046019765733,-0.42777563955648334,-1.767169772343508,0.8905291376271898,-0.09999999999999999,5
LARGE_OFI,15,30,H1,4,1954,0.8666120297703458,-0.42777563955648334,-1.767169772343508,0.8905291376271898,-0.09999999999999999,5
LARGE_OFI,15,30,H1,5,1954,0.05320330155695462,-0.42777563955648334,-1.767169772343508,0.8905291376271898,-0.09999999999999999,5
LARGE_OFI,15,30,H2,1,1605,1.2695047431872275,-0.5838977460055281,-2.8356714779581575,1.488940249407546,-0.6,5
LARGE_OFI,15,30,H2,2,1605,1.0634348620308935,-0.5838977460055281,-2.8356714779581575,1.488940249407546,-0.6,5
LARGE_OFI,15,30,H2,3,1604,1.2957567137747026,-0.5838977460055281,-2.8356714779581575,1.488940249407546,-0.6,5
LARGE_OFI,15,30,H2,4,1605,0.002787723554443342,-0.5838977460055281,-2.8356714779581575,1.488940249407546,-0.6,5
LARGE_OFI,15,30,H2,5,1605,0.6856069971816994,-0.5838977460055281,-2.8356714779581575,1.488940249407546,-0.6,5
LARGE_OFI,30,5,H1,1,1896,0.13092636483527806,-0.1015018628412627,-0.548504156596958,0.34697165494841653,-0.09999999999999999,5
LARGE_OFI,30,5,H1,2,1895,0.15439708038308897,-0.1015018628412627,-0.548504156596958,0.34697165494841653,-0.09999999999999999,5
LARGE_OFI,30,5,H1,3,1895,-0.14052961707884848,-0.1015018628412627,-0.548504156596958,0.34697165494841653,-0.09999999999999999,5
LARGE_OFI,30,5,H1,4,1895,0.18426009624281026,-0.1015018628412627,-0.548504156596958,0.34697165494841653,-0.09999999999999999,5
LARGE_OFI,30,5,H1,5,1895,0.02942450199401537,-0.1015018628412627,-0.548504156596958,0.34697165494841653,-0.09999999999999999,5
LARGE_OFI,30,5,H2,1,1557,0.23335218443681804,-0.024558758390007457,-0.7991186085074086,0.8027585973437448,-0.49999999999999994,5
LARGE_OFI,30,5,H2,2,1556,0.23607196907488426,-0.024558758390007457,-0.7991186085074086,0.8027585973437448,-0.49999999999999994,5
LARGE_OFI,30,5,H2,3,1556,0.2543277777054873,-0.024558758390007457,-0.7991186085074086,0.8027585973437448,-0.49999999999999994,5
