config_id,asset,tf,family,split,n_trades,win_rate,pf_gross,pf_net2,pf_net4,pf_net6,exp_gross_bps,exp_net6_bps,avg_hold_bars,pf_net6_ex_top2,pior_ano_pf_net6,max_dd_bps
WIN_M15_F1_ema9x100,WIN,M15,F1,discovery,320,0.453125,1.1704400496804508,1.0958986062495222,1.026565278678214,0.9620134169563352,4.805969439356636,-1.1940305606433657,17.134375,0.9142232709639303,0.8095676585656798,1276.2903305176987
WIN_M15_F1_ema9x100,WIN,M15,F1,confirm,126,0.4523809523809524,1.1975010959596246,1.079822038604601,0.9748903324065069,0.8808414349163947,3.5007923367026885,-2.4992076632973137,20.373015873015873,0.7956220060905383,0.8808414349163947,871.2438878414604
WIN_M15_F1_ema21x50,WIN,M15,F1,discovery,303,0.45874587458745875,1.1171722119130802,1.0505133509907598,0.9880629597393692,0.9295296122199173,3.607533937096766,-2.3924660629032344,18.184818481848186,0.8832054661829128,0.7034215214238778,2001.2340241472184
WIN_M15_F1_ema21x50,WIN,M15,F1,confirm,137,0.45255474452554745,1.1554271134077796,1.054084366462754,0.9623051614552465,0.8790572090734299,3.1543556574414917,-2.845644342558508,21.029197080291972,0.793210011503269,0.8790572090734299,905.3056653096189
WIN_M15_F1_ema21x100,WIN,M15,F1,discovery,220,0.5136363636363637,1.2623853828765228,1.180058244401577,1.1030720035201813,1.0310904737112536,6.906823887915123,0.9068238879151228,18.69090909090909,0.9557505025596578,0.8511445317243633,1353.584787316981
WIN_M15_F1_ema21x100,WIN,M15,F1,confirm,99,0.47474747474747475,0.9386906081899702,0.8491748434510288,0.7677472245620987,0.6936926361185042,-1.268363488247552,-7.2683634882475525,21.343434343434343,0.5479876510189697,0.6936926361185042,1026.4378884100704
WIN_M15_F2_macd_cross,WIN,M15,F2,discovery,1220,0.3516393442622951,0.9238518744276245,0.8466226330082227,0.7770746878670336,0.7142177402678692,-1.782384798532652,-7.782384798532652,10.586065573770492,0.6954890951108355,0.6584842356892934,9873.962504919085
WIN_M15_F2_macd_cross,WIN,M15,F2,confirm,455,0.34945054945054943,1.120367048993175,0.9711887497045932,0.8452411181203536,0.7384685441129348,1.5862392748843865,-4.413760725115614,12.314285714285715,0.6898986608015665,0.7384685441129348,2206.2485630568067
WIN_M15_F2_macd_cross_zerofilter,WIN,M15,F2,discovery,430,0.3116279069767442,0.8422627488530284,0.7682207643302251,0.7021778804901552,0.6429965984917411,-3.6017831797335047,-9.601783179733504,7.751162790697674,0.5994988699530557,0.5678861599060091,4152.623216375533
WIN_M15_F2_macd_cross_zerofilter,WIN,M15,F2,confirm,156,0.28205128205128205,0.982570653025442,0.8407160690328556,0.7241839710881564,0.627989254800121,-0.22078444235432051,-6.220784442354321,9.25,0.5346836965225389,0.627989254800121,991.7764216157218
