date,year,ret_am_win,ret_pm_win,ret_day_win,z_ret_day_win,is_roll_win,missing_bar13_win,ret_am_wdo,ret_pm_wdo,ret_day_wdo,z_ret_day_wdo,is_roll_wdo,missing_bar13_wdo,div,combo_am,combo_day,excl_am_nan,excl_am_zero,excl_day_nan,excl_day_zero
2024-02-28,2024,-0.0015048908954100604,-0.006593820648078341,-0.008088788562829241,-0.9434861956823675,False,False,0.002124001213714921,0.002220427937020597,0.004349145342368743,0.7519728046012847,False,False,-0.19151339108108278,"(-,+)","(-,+)",False,False,False,False
2024-02-29,2024,-0.011535552193645993,0.0009565716472164087,-0.010590015128593033,-1.235749342084078,False,False,0.002111401568469784,-0.0001003310926055434,0.002010858636637858,0.34967024092977866,True,False,-0.8860791011542992,"(-,+)","(-,+)",False,False,False,False
2024-03-01,2024,0.0021760708559213082,-0.005752161822406787,-0.00358860807818584,-0.41488559532983266,False,False,-0.0024127877752085913,0.0013100876750982149,-0.0011058610636373034,-0.19382751374141996,False,False,-0.6087131090712526,"(+,-)","(-,-)",False,False,False,False
2024-03-04,2024,-0.006236608509335828,-0.0003850152081007474,-0.006619222528313484,-0.7680030630240376,False,False,-0.00161127895266866,0.0003026023804719724,-0.0013091641490432515,-0.2295901914849464,False,False,-0.9975932545089841,"(-,-)","(-,-)",False,False,False,False
2024-03-05,2024,0.004086353122590536,-0.00368578668509556,0.00038550501156509043,0.04458085479915643,False,False,-0.0020145044319097583,0.002422285022204207,0.00040290088638195165,0.07150703358232349,False,False,0.11608788838147993,"(+,-)","(+,+)",False,False,False,False
2024-03-06,2024,-0.0004225081620894411,0.0011143559790962598,0.0006913769925100954,0.08013417538651005,False,False,-0.00131180625630678,0.0019197736687885936,0.0006054490413722746,0.10997630867874333,False,False,0.19011048406525338,"(-,-)","(+,+)",False,False,False,False
2024-03-07,2024,-0.0065094195129422605,-0.0003468742773452549,-0.006854035840098027,-0.7943366412312085,False,False,-0.000505305709954551,-0.00010111223458042495,-0.0006063668519453724,-0.11097407646850255,False,False,-0.905310717699711,"(-,-)","(-,-)",False,False,False,False
2024-03-08,2024,0.008901960784313712,-0.0025653982197690883,0.006313725490196154,0.743682503035657,False,False,0.003931451612903203,0.0021086454463299376,0.006048387096774244,1.1122055172164953,False,False,1.8558880202521522,"(+,+)","(+,+)",False,False,False,False
2024-03-11,2024,0.0005090254121147275,-0.0015654351909830666,-0.0010572066251615109,-0.12404938446303057,False,False,-0.0030060120240480437,0.002110552763818996,-0.0009018036072144797,-0.16477701440530318,False,False,-0.2888263988683337,"(+,-)","(-,-)",False,False,False,False
2024-03-12,2024,0.00653006960193947,0.0015539411833263017,0.008094158129350104,0.9546991133073106,False,False,0.0016064257028112205,-0.0025060144346431557,-0.0009036144578312699,-0.16665458932551072,False,False,0.7880445239817999,"(+,+)","(+,-)",False,False,False,False
