config,F,sizing,window,window_start,window_end,net_ann,sharpe,maxdd,n_rebal,n_days
proxy_F21_fixed_1x,21,fixed_1x,2020-2021,2020-01-01,2021-12-31,0.03739643631778389,0.29506271009938384,-0.27386494782064374,24,495
proxy_F21_fixed_1x,21,fixed_1x,2021-2022,2021-01-01,2022-12-31,-0.19095079662967518,-1.2996547675993688,-0.3763739735595464,23,497
proxy_F21_fixed_1x,21,fixed_1x,2022-2023,2022-01-01,2023-12-31,-0.014032225432758061,-0.028758350457622504,-0.2456454909745075,23,498
proxy_F21_fixed_1x,21,fixed_1x,2023-2024,2023-01-01,2024-12-31,0.14131670319531042,1.2405572326827345,-0.08176898980326153,23,499
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2002-2003,2002-01-01,2003-12-31,0.09040566286850327,0.7487465328357501,-0.17288913714334864,24,499
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2003-2004,2003-01-01,2004-12-31,0.27531893563652554,1.988190064401728,-0.1638779782245583,24,499
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2004-2005,2004-01-01,2005-12-31,0.2652923046422,1.8596060877465184,-0.16387797822455763,23,498
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2005-2006,2005-01-01,2006-12-31,0.1428124527660426,1.0336676656864021,-0.1807040184915425,23,495
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2006-2007,2006-01-01,2007-12-31,0.15425497350984796,1.0020918081030865,-0.18070401849154283,24,491
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2007-2008,2007-01-01,2008-12-31,0.1380214233136523,0.9461663318174927,-0.1896657839710626,24,494
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2008-2009,2008-01-01,2009-12-31,0.07830676724849206,0.6688972617651583,-0.18966578397106293,23,495
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2009-2010,2009-01-01,2010-12-31,0.12591154341021138,1.2234865965026158,-0.07677917501717146,23,493
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2010-2011,2010-01-01,2011-12-31,0.13266157980522508,1.1268902327762844,-0.1517056147440422,24,496
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2011-2012,2011-01-01,2012-12-31,0.14984657378083543,1.2032242501633037,-0.15215377101434013,24,493
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2012-2013,2012-01-01,2013-12-31,0.06918857746688856,0.5950197890186639,-0.16519759188626693,23,492
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2013-2014,2013-01-01,2014-12-31,0.014778643498640998,0.18109622450347232,-0.16519759188626715,23,496
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2014-2015,2014-01-01,2015-12-31,0.13211328304991676,1.1836437630053134,-0.1170011125000684,24,494
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2015-2016,2015-01-01,2016-12-31,0.10237256085323487,0.8940645806988383,-0.12651622493314674,24,495
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2016-2017,2016-01-01,2017-12-31,0.0149052148318074,0.1823110366793145,-0.12651622493314651,24,496
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2017-2018,2017-01-01,2018-12-31,0.1372412063063453,1.1333146075172609,-0.09231966453327944,23,492
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2018-2019,2018-01-01,2019-12-31,0.08302445172638584,0.7956880755812062,-0.18543302520018612,23,493
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2019-2020,2019-01-01,2020-12-31,0.12764772557491533,1.0708068113008442,-0.13188215152495242,24,496
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2020-2021,2020-01-01,2021-12-31,0.09298422508234272,0.7677176908431732,-0.16377984031096815,24,495
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2021-2022,2021-01-01,2022-12-31,-0.1426994516849608,-1.285971260795965,-0.2839441180128661,23,497
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2022-2023,2022-01-01,2023-12-31,-0.022024471549408675,-0.15616324720432564,-0.2019578886933523,23,498
proxy_F21_voltarget_10pct_cap3x,21,voltarget_10pct_cap3x,2023-2024,2023-01-01,2024-12-31,0.09732415576040654,0.916644673077669,-0.10214442982521288,23,499
