date,pos,ret,equity,window
2023-05-09,1,-0.005952536599968554,1.246932346050494,CONFIRM
2023-05-10,1,0.009504224517866562,1.2587834710259478,CONFIRM
2023-05-11,1,-0.002701733307976765,1.2553825737947464,CONFIRM
2023-05-12,1,0.009602035196554311,1.2674368014534643,CONFIRM
2023-05-15,1,0.0029662752250072272,1.271196367836878,CONFIRM
2023-05-16,1,-8.142939714908381e-05,1.271092855082987,CONFIRM
2023-05-17,1,-0.007654261287280443,1.2613635782497865,CONFIRM
2023-05-18,1,-0.002400847608300975,1.2583352365197475,CONFIRM
2023-05-19,1,-0.003944492697979389,1.2533717423676853,CONFIRM
2023-05-22,1,0.0038756515328865777,1.2582293744822695,CONFIRM
2023-05-23,1,0.00042628528443175597,1.258765739149051,CONFIRM
2023-05-24,1,0.004331763495118853,1.264218414626803,CONFIRM
2023-05-25,1,-0.010124208323785714,1.2514192040303551,CONFIRM
2023-05-26,1,-0.0021749837616481787,1.2486973875825744,CONFIRM
2023-05-29,1,0.003498232934610575,1.2530656219091778,CONFIRM
2023-05-30,1,-0.012486256089381169,1.23741952365722,CONFIRM
2023-05-31,1,-0.006928690022438481,1.2288458273500857,CONFIRM
2023-06-01,1,0.012256296301150412,1.2439069259185207,CONFIRM
2023-06-02,1,0.016035403102219264,1.2638534748972665,CONFIRM
2023-06-05,1,0.006802949683711619,1.2724514064945767,CONFIRM
2023-06-06,1,-0.000831866815893005,1.2713928963946775,CONFIRM
2023-06-07,1,0.0038152096515374507,1.2762435268438985,CONFIRM
2023-06-09,1,0.004316180307196578,1.2817520240216491,CONFIRM
2023-06-12,1,0.0021451754748104974,1.284501607028369,CONFIRM
2023-06-13,1,0.006428546413587562,1.2927590852274788,CONFIRM
2023-06-14,1,0.0017684344730260774,1.2950452449591128,CONFIRM
2023-06-15,1,0.005258223858259,1.3018548827636818,CONFIRM
2023-06-16,1,-0.0010216827186265971,1.3005248001278025,CONFIRM
2023-06-19,1,0.010308411728699536,1.3139311452309046,CONFIRM
2023-06-20,1,-0.002350846953911216,1.3108422942004896,CONFIRM
2023-06-21,1,0.00312249762364278,1.314935396149101,CONFIRM
2023-06-22,1,0.0012474111505723377,1.3165756612245396,CONFIRM
2023-06-23,1,-0.0007202879395093161,1.315627347654308,CONFIRM
2023-06-26,1,0.0024189049875916486,1.318809725207361,CONFIRM
2023-06-27,1,-0.003991984053739598,1.3135450578144166,CONFIRM
2023-06-28,1,-0.013471952652876066,1.2958490409881214,CONFIRM
2023-06-29,1,-0.0001265379091876224,1.295685066959852,CONFIRM
2023-06-30,1,0.008374012255240012,1.3065351495895055,CONFIRM
2023-07-03,1,0.006862617251250454,1.3155014002464436,CONFIRM
2023-07-04,1,-0.003454200253287935,1.3109573949765116,CONFIRM
2023-07-05,1,-0.010536005891161352,1.2971451401399776,CONFIRM
2023-07-06,1,-0.00792883725174001,1.2868602874319224,CONFIRM
